Customer_query,Category,Intent,Priority
I need information about service complaint for the business plan (reference 2786).,Complaint,Service Complaint,High
Please help me resolve this urgently: the price of the mobile app.,Pricing,Pricing Information,High
This is urgent—can you help with what the customer portal includes.,Product Inquiry,Product Information,High
I need information about service complaint for your service (reference 2789).,Complaint,Service Complaint,Medium
I'd like some information about the monthly cost of my recent order.,Pricing,Pricing Information,Low
Just checking—what I'd pay for your service?,Pricing,Pricing Information,Low
I need information about service request for our company account (reference 2792).,Service Inquiry,Service Request,Medium
I urgently need help with what I'd pay for my current plan.,Pricing,Pricing Information,High
Do you know closing my account?,General Inquiry,Account Request,Low
I need information about general information for the HR platform (reference 2795).,General Inquiry,General Information,High
I'm trying to find out the current pricing for the HR platform?,Pricing,Pricing Information,Low
I'm having trouble with the software crashing.,Technical Support,Technical Issue,Medium
I need information about service request for your service (reference 2798).,Service Inquiry,Service Request,Medium
Just checking—comparing my recent order with another option?,Product Inquiry,Product Request,Low
I need information about service complaint for your service (reference 2800).,Complaint,Service Complaint,Medium
Just checking—the amount I was charged for the business plan?,Pricing,Billing Request,Low
I need information about service complaint for the software (reference 2802).,Complaint,Service Complaint,High
This is urgent—can you help with the requirements for getting the service.,Service Inquiry,Service Information,High
I need information about general information for the mobile app (reference 2804).,General Inquiry,General Information,Medium
I need information about service complaint for your service (reference 2805).,Complaint,Service Complaint,Low
Just checking—what I should know about my account?,Product Inquiry,Product Information,Low
I'm running into an issue with getting money back for your service.,Pricing,Billing Request,Medium
I'm having trouble with the current pricing for the premium plan.,Pricing,Pricing Information,Medium
I need help with this as soon as possible: the monthly cost of my current plan.,Pricing,Pricing Information,High
I'm having a problem with the monthly cost of my subscription.,Pricing,Pricing Information,Medium
Do you know getting documentation for the customer portal?,Product Inquiry,Product Request,Low
Something isn't working with creating an account.,General Inquiry,Account Request,Medium
I urgently need help with my recent order crashing.,Technical Support,Technical Issue,High
I need some help with logging into the HR platform.,Technical Support,Technical Issue,Medium
I'd like to know the price of the premium plan?,Pricing,Pricing Information,Low
I need information about general information for the HR platform (reference 2816).,General Inquiry,General Information,Low
I need information about service complaint for the latest version (reference 2817).,Complaint,Service Complaint,High
Can you tell me changing my account details?,General Inquiry,Account Request,Low
I need information about service request for the business plan (reference 2819).,Service Inquiry,Service Request,Low
I'd like to know changing my account details?,General Inquiry,Account Request,Low
I'm having trouble with details on the latest version.,Product Inquiry,Product Information,Medium
Just checking—how the HR platform works?,Product Inquiry,Product Information,Low
I need information about service information for our company account (reference 2823).,Service Inquiry,Service Information,Medium
I need information about service request for the business plan (reference 2824).,Service Inquiry,Service Request,Low
I'd like some information about the price of your service.,Pricing,Pricing Information,Low
I'd like to know details on my subscription?,Product Inquiry,Product Information,Low
I need some help with what I'd pay for our company account.,Pricing,Pricing Information,Medium
I urgently need help with the price of the customer portal.,Pricing,Pricing Information,High
I'm stuck with your service not connecting.,Technical Support,Technical Issue,Medium
I need information about service complaint for the HR platform (reference 2830).,Complaint,Service Complaint,Low
I'd like some information about an error in the HR platform.,Technical Support,Technical Issue,Low
Something isn't working with what my account includes.,Product Inquiry,Product Information,Medium
I need information about service complaint for the mobile app (reference 2833).,Complaint,Service Complaint,Low
I need information about general information for the customer portal (reference 2834).,General Inquiry,General Information,Low
I need information about service complaint for your AI HR software (reference 2835).,Complaint,Service Complaint,Medium
I need information about service request for your service (reference 2836).,Service Inquiry,Service Request,Low
I'm stuck with the monthly cost of your service.,Pricing,Pricing Information,Medium
I need information about service complaint for my recent order (reference 2838).,Complaint,Service Complaint,High
I need information about service complaint for your service (reference 2839).,Complaint,Service Complaint,Medium
I need information about service information for your AI HR software (reference 2840).,Service Inquiry,Service Information,Medium
I need information about service request for your AI HR software (reference 2841).,Service Inquiry,Service Request,Low
I need information about service request for the mobile app (reference 2842).,Service Inquiry,Service Request,Low
I need information about service request for the software (reference 2843).,Service Inquiry,Service Request,Medium
I need information about service complaint for your AI HR software (reference 2844).,Complaint,Service Complaint,Medium
I can't seem to creating an account.,General Inquiry,Account Request,Medium
Could someone help me with creating an account.,General Inquiry,Account Request,Medium
This is urgent—can you help with how much our company account costs.,Pricing,Pricing Information,High
I'd like some information about more information about my current plan.,Product Inquiry,Product Information,Low
I need information about general information for the business plan (reference 2849).,General Inquiry,General Information,High
I'm running into an issue with getting documentation for my recent order.,Product Inquiry,Product Request,Medium
I'd like some information about a problem with my recent order.,Technical Support,Technical Issue,Low
I need information about service complaint for my current plan (reference 2852).,Complaint,Service Complaint,Medium
I need some help with the business plan not connecting.,Technical Support,Technical Issue,Medium
I'd like some information about an error in the premium plan.,Technical Support,Technical Issue,Low
I'm having a problem with getting support for the software.,Technical Support,Support Request,Medium
I need information about service complaint for my recent order (reference 2856).,Complaint,Service Complaint,Low
I'm stuck with customizing the customer portal.,Product Inquiry,Product Request,Medium
I need information about general information for the latest version (reference 2858).,General Inquiry,General Information,Medium
I need information about service request for your AI HR software (reference 2859).,Service Inquiry,Service Request,Low
Please help me resolve this urgently: your service running very slowly.,Technical Support,Technical Issue,High
I need some help with the price of your AI HR software.,Pricing,Pricing Information,Medium
Just checking—the price of my account?,Pricing,Pricing Information,Low
I'm having trouble with the software running very slowly.,Technical Support,Technical Issue,Medium
I need information about service complaint for my account (reference 2864).,Complaint,Service Complaint,Low
I need information about service complaint for the business plan (reference 2865).,Complaint,Service Complaint,Medium
I'm running into an issue with the customer portal crashing.,Technical Support,Technical Issue,Medium
I'm trying to find out adding a feature to my current plan?,Product Inquiry,Product Request,Low
I need information about general information for our company account (reference 2868).,General Inquiry,General Information,Low
I need information about service complaint for the customer portal (reference 2869).,Complaint,Service Complaint,Low
I'd like some information about what my subscription includes.,Product Inquiry,Product Information,Low
I need information about service complaint for the premium plan (reference 2871).,Complaint,Service Complaint,Medium
I need information about general information for the software (reference 2872).,General Inquiry,General Information,Low
I'm running into an issue with the price of your AI HR software.,Pricing,Pricing Information,Medium
I need information about service complaint for my current plan (reference 2874).,Complaint,Service Complaint,Low
I need information about general information for the customer portal (reference 2875).,General Inquiry,General Information,Low
I need information about service complaint for the customer portal (reference 2876).,Complaint,Service Complaint,High
I need information about service complaint for my subscription (reference 2877).,Complaint,Service Complaint,Low
I need information about general information for the customer portal (reference 2878).,General Inquiry,General Information,Medium
This is urgent—can you help with how much the business plan costs.,Pricing,Pricing Information,High
Do you know the monthly cost of the business plan?,Pricing,Pricing Information,Low
I need information about service information for the mobile app (reference 2881).,Service Inquiry,Service Information,Medium
I need help with this as soon as possible: changing my account details.,General Inquiry,Account Request,High
Just wanted to check the monthly cost of your AI HR software?,Pricing,Pricing Information,Low
Something isn't working with logging into the software.,Technical Support,Technical Issue,Medium
I'd like some information about the price of my subscription.,Pricing,Pricing Information,Low
I need information about service request for the latest version (reference 2886).,Service Inquiry,Service Request,Medium
I need some help with getting documentation for the HR platform.,Product Inquiry,Product Request,Medium
I need information about general information for the HR platform (reference 2888).,General Inquiry,General Information,Low
Something isn't working with the price of the mobile app.,Pricing,Pricing Information,Medium
I need information about service request for the latest version (reference 2890).,Service Inquiry,Service Request,Low
Just checking—the monthly cost of the business plan?,Pricing,Pricing Information,Low
I need information about service complaint for our company account (reference 2892).,Complaint,Service Complaint,High
I need information about service request for my recent order (reference 2893).,Service Inquiry,Service Request,Medium
I need help with this as soon as possible: details on my account.,Product Inquiry,Product Information,High
I need information about service information for the mobile app (reference 2895).,Service Inquiry,Service Information,Low
I'm having trouble with my subscription crashing.,Technical Support,Technical Issue,Medium
I need information about service request for our company account (reference 2897).,Service Inquiry,Service Request,Medium
I'd like some information about logging into my subscription.,Technical Support,Technical Issue,Low
Could you let me know details on the software?,Product Inquiry,Product Information,Low
I wanted to ask uploading a file to the latest version?,Technical Support,Technical Issue,Low
Just wanted to check the current pricing for the business plan?,Pricing,Pricing Information,Low
I'd like to know updating my profile?,General Inquiry,Account Request,Low
I need information about service information for my account (reference 2903).,Service Inquiry,Service Information,Medium
Just checking—the current pricing for the business plan?,Pricing,Pricing Information,Low
I need information about service complaint for the business plan (reference 2905).,Complaint,Service Complaint,Medium
Something isn't working with an error in the business plan.,Technical Support,Technical Issue,Medium
I need information about service request for your service (reference 2907).,Service Inquiry,Service Request,Medium
I need information about general information for your AI HR software (reference 2908).,General Inquiry,General Information,High
I need information about service complaint for my current plan (reference 2909).,Complaint,Service Complaint,High
I need information about service complaint for the latest version (reference 2910).,Complaint,Service Complaint,Medium
I need information about service request for my current plan (reference 2911).,Service Inquiry,Service Request,Low
I need information about service complaint for my subscription (reference 2912).,Complaint,Service Complaint,High
I need information about service complaint for the software (reference 2913).,Complaint,Service Complaint,High
I need information about general information for the business plan (reference 2914).,General Inquiry,General Information,Low
I wanted to ask the current pricing for your service?,Pricing,Pricing Information,Low
I need information about service request for the HR platform (reference 2916).,Service Inquiry,Service Request,Low
I need information about service complaint for the mobile app (reference 2917).,Complaint,Service Complaint,Medium
I need information about service complaint for your service (reference 2918).,Complaint,Service Complaint,High
I need information about service complaint for the premium plan (reference 2919).,Complaint,Service Complaint,Low
I can't seem to the latest version running very slowly.,Technical Support,Technical Issue,Medium
Could someone help me with notifications from the software not working.,Technical Support,Technical Issue,Medium
I need information about service request for the software (reference 2922).,Service Inquiry,Service Request,Low
Just checking—my account not connecting?,Technical Support,Technical Issue,Low
I need help with this as soon as possible: the price of the premium plan.,Pricing,Pricing Information,High
I'd like some information about a billing issue with my recent order.,Pricing,Billing Request,Low
I need information about general information for my subscription (reference 2926).,General Inquiry,General Information,Medium
Just checking—my account running very slowly?,Technical Support,Technical Issue,Low
I need information about service request for my subscription (reference 2928).,Service Inquiry,Service Request,Medium
I need information about general information for the software (reference 2929).,General Inquiry,General Information,Medium
Just wanted to check the monthly cost of your service?,Pricing,Pricing Information,Low
I need information about general information for your service (reference 2931).,General Inquiry,General Information,Low
I need information about service complaint for the business plan (reference 2932).,Complaint,Service Complaint,Low
I'd like to know what my recent order includes?,Product Inquiry,Product Information,Low
I need information about service request for the customer portal (reference 2934).,Service Inquiry,Service Request,Low
I'd like to know your service not connecting?,Technical Support,Technical Issue,Low
I need information about general information for the premium plan (reference 2936).,General Inquiry,General Information,Low
I need some help with how much the business plan costs.,Pricing,Pricing Information,Medium
I need information about general information for the latest version (reference 2938).,General Inquiry,General Information,Medium
I can't seem to an error in the software.,Technical Support,Technical Issue,Medium
I'm having a problem with my current plan not connecting.,Technical Support,Technical Issue,Medium
I can't seem to your AI HR software running very slowly.,Technical Support,Technical Issue,Medium
I was wondering closing my account?,General Inquiry,Account Request,Low
I need information about service complaint for the software (reference 2943).,Complaint,Service Complaint,High
Just checking—more information about the premium plan?,Product Inquiry,Product Information,Low
I need information about service request for my subscription (reference 2945).,Service Inquiry,Service Request,High
I'm trying to find out what I should know about the premium plan?,Product Inquiry,Product Information,Low
I was wondering a problem with your AI HR software?,Technical Support,Technical Issue,Low
Can you tell me comparing your AI HR software with another option?,Product Inquiry,Product Request,Low
I need information about general information for my account (reference 2949).,General Inquiry,General Information,Medium
I need information about general information for the business plan (reference 2950).,General Inquiry,General Information,High
I need information about service request for the software (reference 2951).,Service Inquiry,Service Request,Medium
Just wanted to check the latest version not connecting?,Technical Support,Technical Issue,Low
I'm having trouble with an error in the HR platform.,Technical Support,Technical Issue,Medium
I need information about service complaint for the latest version (reference 2954).,Complaint,Service Complaint,Low
I need information about service request for your AI HR software (reference 2955).,Service Inquiry,Service Request,Low
I need information about service complaint for my subscription (reference 2956).,Complaint,Service Complaint,Low
I need information about service request for the HR platform (reference 2957).,Service Inquiry,Service Request,High
I need information about service complaint for the business plan (reference 2958).,Complaint,Service Complaint,High
Something isn't working with uploading a file to the premium plan.,Technical Support,Technical Issue,Medium
I need help with this as soon as possible: what I'd pay for the mobile app.,Pricing,Pricing Information,High
I need information about service information for my account (reference 2961).,Service Inquiry,Service Information,Medium
I need information about service information for the premium plan (reference 2962).,Service Inquiry,Service Information,Medium
I need information about service information for my current plan (reference 2963).,Service Inquiry,Service Information,Low
I need information about service complaint for your service (reference 2964).,Complaint,Service Complaint,Low
This is urgent—can you help with uploading a file to the HR platform.,Technical Support,Technical Issue,High
I need information about service complaint for the HR platform (reference 2966).,Complaint,Service Complaint,High
Just checking—what the business plan includes?,Product Inquiry,Product Information,Low
I need information about service request for the software (reference 2968).,Service Inquiry,Service Request,Low
I need information about service request for my current plan (reference 2969).,Service Inquiry,Service Request,Medium
I'm stuck with what your AI HR software includes.,Product Inquiry,Product Information,Medium
I need information about service complaint for my subscription (reference 2971).,Complaint,Service Complaint,Low
I need information about general information for my recent order (reference 2972).,General Inquiry,General Information,Medium
Please help me resolve this urgently: what I should know about the HR platform.,Product Inquiry,Product Information,High
I need information about service complaint for the customer portal (reference 2974).,Complaint,Service Complaint,Low
This is urgent—can you help with notifications from the latest version not working.,Technical Support,Technical Issue,High
I need information about general information for the latest version (reference 2976).,General Inquiry,General Information,Medium
I need information about service complaint for the business plan (reference 2977).,Complaint,Service Complaint,Medium
I need information about general information for the mobile app (reference 2978).,General Inquiry,General Information,Low
Can someone look into this right away: your service coverage.,Service Inquiry,Service Information,High
I can't seem to more information about the business plan.,Product Inquiry,Product Information,Medium
I'm trying to find out customizing my subscription?,Product Inquiry,Product Request,Low
I need information about general information for the latest version (reference 2982).,General Inquiry,General Information,Low
I need information about service complaint for the business plan (reference 2983).,Complaint,Service Complaint,Medium
Just checking—what I'd pay for our company account?,Pricing,Pricing Information,Low
I'd like to know a problem with your service?,Technical Support,Technical Issue,Low
Please help me resolve this urgently: sending feedback about my account.,General Inquiry,Account Request,High
I need information about general information for the software (reference 2987).,General Inquiry,General Information,Low
I need information about service request for my recent order (reference 2988).,Service Inquiry,Service Request,Medium
Just wanted to check the current pricing for your AI HR software?,Pricing,Pricing Information,Low
I'm trying to find out the monthly cost of my recent order?,Pricing,Pricing Information,Low
I need information about service complaint for the customer portal (reference 2991).,Complaint,Service Complaint,High
I need information about service request for my recent order (reference 2992).,Service Inquiry,Service Request,Low
I need information about general information for the customer portal (reference 2993).,General Inquiry,General Information,Low
I need help with this as soon as possible: what I'd pay for my current plan.,Pricing,Pricing Information,High
I need information about service information for our company account (reference 2995).,Service Inquiry,Service Information,Low
I need help with this as soon as possible: how the HR platform works.,Product Inquiry,Product Information,High
I need information about service request for the latest version (reference 2997).,Service Inquiry,Service Request,Low
I need help with this as soon as possible: the price of your service.,Pricing,Pricing Information,High
I'm trying to find out the monthly cost of my subscription?,Pricing,Pricing Information,Low
I need information about general information for the latest version (reference 3000).,General Inquiry,General Information,Low
I need information about service complaint for the latest version (reference 3001).,Complaint,Service Complaint,Low
I wanted to ask the customer portal crashing?,Technical Support,Technical Issue,Low
I need information about service complaint for my current plan (reference 3003).,Complaint,Service Complaint,High
I need information about service information for the premium plan (reference 3004).,Service Inquiry,Service Information,Low
I'm running into an issue with what my recent order includes.,Product Inquiry,Product Information,Medium
Just wanted to check creating an account?,General Inquiry,Account Request,Low
I can't seem to uploading a file to my account.,Technical Support,Technical Issue,Medium
Can someone look into this right away: what the HR platform includes.,Product Inquiry,Product Information,High
I'm trying to find out getting this unresolved issue escalated?,Complaint,Escalation Request,Low
Can you tell me your AI HR software running very slowly?,Technical Support,Technical Issue,Low
Could you let me know updating my profile?,General Inquiry,Account Request,Low
I can't seem to the current pricing for your AI HR software.,Pricing,Pricing Information,Medium
Just wanted to check the price of the customer portal?,Pricing,Pricing Information,Low
Can someone look into this right away: logging into the latest version.,Technical Support,Technical Issue,High
I'm running into an issue with comparing the customer portal with another option.,Product Inquiry,Product Request,Medium
I can't seem to comparing my recent order with another option.,Product Inquiry,Product Request,Medium
I need information about service information for my current plan (reference 3017).,Service Inquiry,Service Information,Low
This is urgent—can you help with having this issue reviewed by a manager.,Complaint,Escalation Request,High
I need information about general information for the latest version (reference 3019).,General Inquiry,General Information,Low
I need information about service request for your service (reference 3020).,Service Inquiry,Service Request,Low
I need help with this as soon as possible: the price of the HR platform.,Pricing,Pricing Information,High
I need information about service complaint for the HR platform (reference 3022).,Complaint,Service Complaint,Low
I need information about general information for my recent order (reference 3023).,General Inquiry,General Information,Low
Just checking—getting documentation for your service?,Product Inquiry,Product Request,Low
I'm trying to find out the monthly cost of the latest version?,Pricing,Pricing Information,Low
I'd like some information about customizing my current plan.,Product Inquiry,Product Request,Low
I need information about general information for my account (reference 3027).,General Inquiry,General Information,Low
I'm running into an issue with what our company account includes.,Product Inquiry,Product Information,Medium
I'm stuck with details on the premium plan.,Product Inquiry,Product Information,Medium
I need information about service complaint for your service (reference 3030).,Complaint,Service Complaint,Low
Just checking—uploading a file to the latest version?,Technical Support,Technical Issue,Low
I need information about service request for the customer portal (reference 3032).,Service Inquiry,Service Request,High
I need information about general information for our company account (reference 3033).,General Inquiry,General Information,Low
I need information about general information for my recent order (reference 3034).,General Inquiry,General Information,Low
I need information about general information for the premium plan (reference 3035).,General Inquiry,General Information,High
I need information about general information for the mobile app (reference 3036).,General Inquiry,General Information,Medium
I need information about service complaint for my recent order (reference 3037).,Complaint,Service Complaint,High
I need information about service request for our company account (reference 3038).,Service Inquiry,Service Request,High
I'm having a problem with the current pricing for the HR platform.,Pricing,Pricing Information,Medium
Please help me resolve this urgently: an error in your AI HR software.,Technical Support,Technical Issue,High
I'd like some information about the current pricing for my recent order.,Pricing,Pricing Information,Low
I need information about general information for the HR platform (reference 3042).,General Inquiry,General Information,Low
I need information about general information for my subscription (reference 3043).,General Inquiry,General Information,Low
I need information about general information for the premium plan (reference 3044).,General Inquiry,General Information,Medium
I need information about service request for my account (reference 3045).,Service Inquiry,Service Request,Medium
I need information about service request for my subscription (reference 3046).,Service Inquiry,Service Request,Low
I wanted to ask changing my account details?,General Inquiry,Account Request,Low
I'm having a problem with the business plan not connecting.,Technical Support,Technical Issue,Medium
I need information about general information for the latest version (reference 3049).,General Inquiry,General Information,Medium
Please help me resolve this urgently: logging into the premium plan.,Technical Support,Technical Issue,High
I'm trying to find out what the premium plan includes?,Product Inquiry,Product Information,Low
I need information about service request for the business plan (reference 3052).,Service Inquiry,Service Request,Medium
I was wondering integrating your AI HR software with another tool?,Product Inquiry,Product Request,Low
I need information about general information for my current plan (reference 3054).,General Inquiry,General Information,Medium
I need information about service request for the business plan (reference 3055).,Service Inquiry,Service Request,Low
I was wondering what the HR platform includes?,Product Inquiry,Product Information,Low
I'm stuck with the price of the latest version.,Pricing,Pricing Information,Medium
I was wondering the latest version crashing?,Technical Support,Technical Issue,Low
I need information about general information for our company account (reference 3059).,General Inquiry,General Information,Medium
I need information about service request for my current plan (reference 3060).,Service Inquiry,Service Request,Medium
Something isn't working with adding a feature to my subscription.,Product Inquiry,Product Request,Medium
I need information about service information for the premium plan (reference 3062).,Service Inquiry,Service Information,Medium
Do you know an error in the premium plan?,Technical Support,Technical Issue,Low
I need information about service request for the business plan (reference 3064).,Service Inquiry,Service Request,High
I'd like some information about what my account includes.,Product Inquiry,Product Information,Low
I need information about account request for the business plan (reference 3066).,General Inquiry,Account Request,Medium
I need information about general information for the mobile app (reference 3067).,General Inquiry,General Information,High
I need information about service complaint for the mobile app (reference 3068).,Complaint,Service Complaint,Low
Could someone help me with the price of your AI HR software.,Pricing,Pricing Information,Medium
I need information about general information for my account (reference 3070).,General Inquiry,General Information,Low
I'd like to know uploading a file to our company account?,Technical Support,Technical Issue,Low
Just checking—details on my account?,Product Inquiry,Product Information,Low
Can you tell me more information about the customer portal?,Product Inquiry,Product Information,Low
I urgently need help with raising a formal complaint.,Complaint,Escalation Request,High
Could someone help me with notifications from my recent order not working.,Technical Support,Technical Issue,Medium
I need information about general information for your AI HR software (reference 3076).,General Inquiry,General Information,Medium
Just wanted to check what our company account includes?,Product Inquiry,Product Information,Low
I need information about service request for the HR platform (reference 3078).,Service Inquiry,Service Request,Low
Just wanted to check getting documentation for the business plan?,Product Inquiry,Product Request,Low
I'd like some information about the monthly cost of the software.,Pricing,Pricing Information,Low
I need information about service complaint for your service (reference 3081).,Complaint,Service Complaint,Low
I wanted to ask the price of your service?,Pricing,Pricing Information,Low
I'd like some information about what I'd pay for my recent order.,Pricing,Pricing Information,Low
I wanted to ask notifications from your service not working?,Technical Support,Technical Issue,Low
I need information about service complaint for the mobile app (reference 3085).,Complaint,Service Complaint,High
I can't seem to how your AI HR software works.,Product Inquiry,Product Information,Medium
I'm trying to find out the latest version running very slowly?,Technical Support,Technical Issue,Low
I wanted to ask notifications from my account not working?,Technical Support,Technical Issue,Low
I'd like some information about a problem with your AI HR software.,Technical Support,Technical Issue,Low
I need information about service request for the software (reference 3090).,Service Inquiry,Service Request,Low
I need information about service complaint for my account (reference 3091).,Complaint,Service Complaint,Medium
I need information about service complaint for the premium plan (reference 3092).,Complaint,Service Complaint,Medium
I need information about service complaint for the business plan (reference 3093).,Complaint,Service Complaint,Low
I need information about service request for the premium plan (reference 3094).,Service Inquiry,Service Request,Low
I need information about service complaint for my subscription (reference 3095).,Complaint,Service Complaint,Medium
I'd like some information about what I'd pay for the customer portal.,Pricing,Pricing Information,Low
I need help with this as soon as possible: creating an account.,General Inquiry,Account Request,High
I need information about general information for the customer portal (reference 3098).,General Inquiry,General Information,Medium
I wanted to ask getting documentation for your AI HR software?,Product Inquiry,Product Request,Low
I need information about general information for the HR platform (reference 3100).,General Inquiry,General Information,Low
I need information about general information for my current plan (reference 3101).,General Inquiry,General Information,High
I need information about general information for your service (reference 3102).,General Inquiry,General Information,Medium
Do you know how much my subscription costs?,Pricing,Pricing Information,Low
I need information about general information for the mobile app (reference 3104).,General Inquiry,General Information,Low
I'm having trouble with a problem with the premium plan.,Technical Support,Technical Issue,Medium
I need information about general information for the latest version (reference 3106).,General Inquiry,General Information,High
I'm running into an issue with the monthly cost of our company account.,Pricing,Pricing Information,Medium
I need information about general information for your service (reference 3108).,General Inquiry,General Information,High
Just checking—comparing the premium plan with another option?,Product Inquiry,Product Request,Low
I need information about service information for my subscription (reference 3110).,Service Inquiry,Service Information,Medium
I need information about service complaint for the business plan (reference 3111).,Complaint,Service Complaint,Medium
I'd like to know how much our company account costs?,Pricing,Pricing Information,Low
I need information about service request for the premium plan (reference 3113).,Service Inquiry,Service Request,Medium
Can you tell me what I'd pay for my account?,Pricing,Pricing Information,Low
I need information about service complaint for my account (reference 3115).,Complaint,Service Complaint,Low
I need information about service complaint for our company account (reference 3116).,Complaint,Service Complaint,Low
I need help with this as soon as possible: customizing the software.,Product Inquiry,Product Request,High
I need information about service request for my recent order (reference 3118).,Service Inquiry,Service Request,High
I need information about account request for the customer portal (reference 3119).,General Inquiry,Account Request,Medium
I need information about service complaint for the business plan (reference 3120).,Complaint,Service Complaint,Medium
I need information about service request for the mobile app (reference 3121).,Service Inquiry,Service Request,Low
I need help with this as soon as possible: how much the software costs.,Pricing,Pricing Information,High
This is urgent—can you help with when the service is available.,Service Inquiry,Service Information,High
I need information about service request for our company account (reference 3124).,Service Inquiry,Service Request,High
Can you tell me notifications from your service not working?,Technical Support,Technical Issue,Low
This is urgent—can you help with details on my current plan.,Product Inquiry,Product Information,High
Something isn't working with more information about my subscription.,Product Inquiry,Product Information,Medium
I need information about service information for my recent order (reference 3128).,Service Inquiry,Service Information,Low
I need information about service request for your AI HR software (reference 3129).,Service Inquiry,Service Request,Medium
I need information about service complaint for the latest version (reference 3130).,Complaint,Service Complaint,High
I need help with this as soon as possible: how our company account works.,Product Inquiry,Product Information,High
I need information about service complaint for the mobile app (reference 3132).,Complaint,Service Complaint,Low
This is urgent—can you help with the monthly cost of the mobile app.,Pricing,Pricing Information,High
I was wondering logging into the mobile app?,Technical Support,Technical Issue,Low
I need help with this as soon as possible: logging into your AI HR software.,Technical Support,Technical Issue,High
I need information about general information for the software (reference 3136).,General Inquiry,General Information,High
I'd like some information about the monthly cost of your service.,Pricing,Pricing Information,Low
I need information about account request for our company account (reference 3138).,General Inquiry,Account Request,Medium
I'm stuck with what I'd pay for the HR platform.,Pricing,Pricing Information,Medium
I need information about service complaint for my recent order (reference 3140).,Complaint,Service Complaint,Medium
This is urgent—can you help with how the software works.,Product Inquiry,Product Information,High
I need information about general information for my subscription (reference 3142).,General Inquiry,General Information,Low
I was wondering how my subscription works?,Product Inquiry,Product Information,Low
I'm having a problem with the mobile app running very slowly.,Technical Support,Technical Issue,Medium
Just wanted to check uploading a file to my recent order?,Technical Support,Technical Issue,Low
Could someone help me with getting help with the HR platform.,Technical Support,Support Request,Medium
Can you tell me what I should know about my subscription?,Product Inquiry,Product Information,Low
I need information about service complaint for your AI HR software (reference 3148).,Complaint,Service Complaint,Medium
I'm stuck with the price of my current plan.,Pricing,Pricing Information,Medium
I need information about service request for the premium plan (reference 3150).,Service Inquiry,Service Request,Medium
I'm running into an issue with the mobile app not connecting.,Technical Support,Technical Issue,Medium
This is urgent—can you help with updating my profile.,General Inquiry,Account Request,High
I need some help with how much the latest version costs.,Pricing,Pricing Information,Medium
I need information about service request for my subscription (reference 3154).,Service Inquiry,Service Request,Medium
I was wondering comparing the business plan with another option?,Product Inquiry,Product Request,Low
Can someone look into this right away: what I'd pay for the HR platform.,Pricing,Pricing Information,High
I need information about service request for the business plan (reference 3157).,Service Inquiry,Service Request,Medium
Can someone look into this right away: uploading a file to your service.,Technical Support,Technical Issue,High
I need information about service complaint for my account (reference 3159).,Complaint,Service Complaint,High
Can you tell me updating my profile?,General Inquiry,Account Request,Low
I need help with this as soon as possible: your maintenance schedule.,Service Inquiry,Service Information,High
I need information about account request for my recent order (reference 3162).,General Inquiry,Account Request,Medium
I need information about general information for the customer portal (reference 3163).,General Inquiry,General Information,Low
I need information about service request for your service (reference 3164).,Service Inquiry,Service Request,High
I need information about service request for the software (reference 3165).,Service Inquiry,Service Request,High
I need information about general information for the software (reference 3166).,General Inquiry,General Information,Low
I'm stuck with what I should know about my subscription.,Product Inquiry,Product Information,Medium
I need information about service complaint for our company account (reference 3168).,Complaint,Service Complaint,High
I need information about service information for the latest version (reference 3169).,Service Inquiry,Service Information,Low
Just wanted to check the price of the business plan?,Pricing,Pricing Information,Low
I'm having trouble with details on my subscription.,Product Inquiry,Product Information,Medium
Just checking—logging into my account?,Technical Support,Technical Issue,Low
I need information about service complaint for my recent order (reference 3173).,Complaint,Service Complaint,Low
This is urgent—can you help with uploading a file to my account.,Technical Support,Technical Issue,High
I'm having a problem with how the business plan works.,Product Inquiry,Product Information,Medium
Just wanted to check changing my account details?,General Inquiry,Account Request,Low
I need information about service information for my recent order (reference 3177).,Service Inquiry,Service Information,Low
I need information about general information for the latest version (reference 3178).,General Inquiry,General Information,Low
I need information about service information for your service (reference 3179).,Service Inquiry,Service Information,Medium
I urgently need help with the current pricing for the business plan.,Pricing,Pricing Information,High
I need information about service request for my current plan (reference 3181).,Service Inquiry,Service Request,Low
I need information about service information for my current plan (reference 3182).,Service Inquiry,Service Information,Low
I'd like some information about integrating your service with another tool.,Product Inquiry,Product Request,Low
I was wondering how much my account costs?,Pricing,Pricing Information,Low
I wanted to ask the monthly cost of the business plan?,Pricing,Pricing Information,Low
I need information about service request for our company account (reference 3186).,Service Inquiry,Service Request,Medium
I need information about service complaint for the business plan (reference 3187).,Complaint,Service Complaint,High
I need information about service request for your service (reference 3188).,Service Inquiry,Service Request,Medium
I need help with this as soon as possible: whether the service is available in my area.,Service Inquiry,Service Information,High
Could someone help me with getting documentation for my subscription.,Product Inquiry,Product Request,Medium
I need information about service request for my recent order (reference 3191).,Service Inquiry,Service Request,Low
I'm having a problem with the customer portal crashing.,Technical Support,Technical Issue,Medium
Just wanted to check comparing my current plan with another option?,Product Inquiry,Product Request,Low
I need information about service complaint for my account (reference 3194).,Complaint,Service Complaint,High
Just checking—customizing the software?,Product Inquiry,Product Request,Low
I need information about service complaint for the customer portal (reference 3196).,Complaint,Service Complaint,Low
